127.0.0.1 - - [04/Sep/2020:19:26:32 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [04/Sep/2020:19:26:33 +0900] "GET /semiProject/product/list.jsp HTTP/1.1" 200 5195
0:0:0:0:0:0:0:1 - - [04/Sep/2020:19:26:33 +0900] "GET /semiProject/home3.css HTTP/1.1" 200 5412
0:0:0:0:0:0:0:1 - - [04/Sep/2020:19:26:33 +0900] "GET /semiProject/home.js HTTP/1.1" 200 1309
0:0:0:0:0:0:0:1 - - [04/Sep/2020:19:26:33 +0900] "GET /semiProject/images/footerImage.jpg HTTP/1.1" 200 65698
0:0:0:0:0:0:0:1 - - [04/Sep/2020:19:26:33 +0900] "GET /favicon.ico HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [04/Sep/2020:19:26:34 +0900] "GET /semiProject/product/list?key=product_code&word=&page=1&perPage=8&order=product_code&desc= HTTP/1.1" 200 1866
0:0:0:0:0:0:0:1 - - [04/Sep/2020:19:26:37 +0900] "GET /semiProject/product/list.jsp HTTP/1.1" 200 5195
0:0:0:0:0:0:0:1 - - [04/Sep/2020:19:26:37 +0900] "GET /semiProject/product/list?key=product_code&word=&page=1&perPage=8&order=product_code&desc= HTTP/1.1" 200 1866
0:0:0:0:0:0:0:1 - - [04/Sep/2020:19:26:37 +0900] "GET /semiProject/stock/list.jsp HTTP/1.1" 200 4222
0:0:0:0:0:0:0:1 - - [04/Sep/2020:19:26:37 +0900] "GET /semiProject/home.css HTTP/1.1" 200 5878
0:0:0:0:0:0:0:1 - - [04/Sep/2020:19:26:38 +0900] "GET /semiProject/stock/list?page=1 HTTP/1.1" 200 3688
0:0:0:0:0:0:0:1 - - [04/Sep/2020:19:26:39 +0900] "GET /semiProject/sell_status/list.jsp HTTP/1.1" 200 5048
0:0:0:0:0:0:0:1 - - [04/Sep/2020:19:26:39 +0900] "GET /semiProject/Sell_Status/list?key=cvs_code&word=&page=1&perPage=10&order=cvs_code&desc= HTTP/1.1" 200 1443
0:0:0:0:0:0:0:1 - - [04/Sep/2020:19:26:40 +0900] "GET /semiProject/order/list.jsp HTTP/1.1" 200 5124
0:0:0:0:0:0:0:1 - - [04/Sep/2020:19:26:40 +0900] "GET /semiProject/order/list?key=cvs_code&word=&page=1&perPage=10&order=cvs_code&desc= HTTP/1.1" 200 2475
0:0:0:0:0:0:0:1 - - [04/Sep/2020:19:26:41 +0900] "GET /semiProject/cart/cartList.jsp HTTP/1.1" 200 8596
0:0:0:0:0:0:0:1 - - [04/Sep/2020:19:26:41 +0900] "GET /semiProject/home2.css HTTP/1.1" 200 5343
0:0:0:0:0:0:0:1 - - [04/Sep/2020:19:26:41 +0900] "GET /semiProject/product/list?key=product_code&word=&page=1&perPage=10&order=product_code&desc= HTTP/1.1" 200 2313
0:0:0:0:0:0:0:1 - - [04/Sep/2020:19:26:41 +0900] "GET /img/product/CCD840EAACB044AEA1AD094DD5E78C41.jpg HTTP/1.1" 404 1088
